"SAM","AgFFF","Coal","OilGas","MetMin","NMetMin","FoodPr","Textile","Apparel","WoodPr","PaperPr","RefPet","Chemical","NMetPr","Metals","MetalPr","GenEqp","SpecEqp","TransEqp","ElecEqp","ICTEqp","PrecInst","OthMfg","Waste","MachRep","T_D","Coal_Power","Oil_Power","Gas_Power","Nuclear","Hydro","Wind","Solar","Biomass","GasDist","WatDist","Constr","WhRetTr","TranspSrv","HotRest","ICTServ","Finance","RealEst","BusServe","ResTech","EnvServ","ResServ","Education","Health","RecEnt","PubAdm","LabSk","LabUn","Capital","prodtax","Depr","HHRural","HHUrban","Govt","Capacct","Invent","ROW","ENTERPRISE","Total","Land","Natr"
"ENTERPRISE",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,19905.985177542,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"Total",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"Land",0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"Natr",5.332106467E-10,0.000000008,2.289273057E-10,4.785064837E-10,3.269673753E-10,5.673331703E-10,4.083397185E-10,7.357123453E-11,1.805962583E-10,8.039786446E-10,8.913162976E-10,0.000000007,0.000000008,0.000000020,5.456334878E-10,3.312806447E-10,2.638231608E-10,1.721226362E-10,1.238536031E-10,5.388070082E-11,6.747092083E-12,2.601044022E-10,4.855982446E-11,1.518202203E-11,0.000000000,0.000000025,6.847649248E-10,5.355626760E-11,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.003836132E-10,7.356738641E-12,9.876200854E-10,7.785331030E-11,0.000000004,9.673310913E-11,1.728832638E-11,8.930810882E-11,9.917810807E-11,7.391685817E-10,2.996491186E-10,1.070503718E-10,1.475001190E-10,1.552903601E-10,1.125541475E-10,3.978173901E-11,3.126341457E-10,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
"SAM","AgFFF","Coal","OilGas","MetMin","NMetMin","FoodPr","Textile","Apparel","WoodPr","PaperPr","RefPet","Chemical","NMetPr","Metals","MetalPr","GenEqp","SpecEqp","TransEqp","ElecEqp","ICTEqp","PrecInst","OthMfg","Waste","MachRep","T_D","Coal_Power","Oil_Power","Gas_Power","Nuclear","Hydro","Wind","Solar","Biomass","GasDist","WatDist","Constr","WhRetTr","TranspSrv","HotRest","ICTServ","Finance","RealEst","BusServe","ResTech","EnvServ","ResServ","Education","Health","RecEnt","PubAdm","LabSk","LabUn","Capital","prodtax","Depr","HHRural","HHUrban","Govt","Capacct","Invent","ROW","ENTERPRISE","Total","Land","Natr"
"AgFFF",267.600516066,0.101210472,0.004321427,0.059106630,0.043462701,421.294485476,618.703465266,93.271450999,129.578700315,74.750571699,0.024120897,126.591585832,0.315602211,0.248660385,0.644250169,0.274615718,0.360418659,0.098604474,0.142980892,0.000000000,0.000000000,8.255088310,0.005398648,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018668953,0.000305072,0.004531457,17.803776548,0.312953866,13.493645082,29.732226522,0.368280384,0.003242229,0.023179925,6.208168438,2.250435338,3.224027438,0.566575365,0.944962792,0.515301912,0.399652477,0.003655653,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,272.263491728,265.629639741,13.491736323,285.142602357,0.000000000,457.217572508,0.000000000,0.000000000,0.000000000,0.000000000
"Coal",0.124055489,39.941536402,0.363722263,1.335842722,0.686183541,2.561821671,13.607660328,2.842238122,3.455856901,16.829415135,2.661576363,85.342259741,48.598423050,148.038932016,7.288679500,4.518082934,3.190802986,1.090786196,1.706217427,0.000000000,0.000000000,5.937124760,0.081874619,0.070289249,0.000000000,63.032572656,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.161458863,0.013197713,2.466132358,0.009337886,1.034229494,0.042359343,0.000000000,0.000000000,0.007932881,0.025955754,0.144096758,0.137534865,0.157160510,0.242369330,0.305876214,0.111232594,0.298342586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.345460071,1.505618910,0.000000000,11.554961405,0.000000000,61.621547743,0.000000000,0.000000000,0.000000000,0.000000000
"OilGas",0.000000000,0.653593357,1.463696124,0.159195481,0.112221674,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,541.239526899,52.992145089,1.761021660,1.168676973,1.177677444,1.002628348,1.123040378,0.668381596,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.389291264,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,9.504066622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,18.807220507,0.000000000,99.660812168,0.000000000,0.000000000,0.000000000,0.000000000
"MetMin",0.000000000,0.101944726,0.000089067,29.837196818,0.202514455,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.196244459,18.823079196,5.566082660,442.260653965,11.217973625,1.519592824,0.496506417,0.146310279,5.481613719,0.000000000,0.000000000,0.090004891,0.036756695,0.018310688,0.000278850,0.000058902,0.000000000,0.000000000,0.000021081,0.000028387,0.000014093,0.000000000,0.000009417,0.050054656,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.120161413,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.188216389,0.000000000,32.843326016,0.000000000,0.000000000,0.000000000,0.000000000
"NMetMin",0.011873882,0.406237273,13.945492419,0.485933747,0.764653793,0.490043234,0.014990754,0.098942653,0.212005153,2.961268416,0.000212513,25.536010563,60.560205446,1.852652908,0.480491557,0.200537125,0.648806772,0.223923358,3.360876279,0.000000000,0.000000000,0.021644195,0.000990212,0.001931758,0.099029957,0.020918332,0.002797824,0.000927812,0.007486637,0.010081268,0.005004885,0.000074800,0.003344207,0.000253809,0.000131126,12.898980689,0.000000000,0.016853656,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010299065,0.000969206,0.002793662,0.000117164,0.000000000,0.004048296,0.000014241,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,63.790660970,0.000000000,0.000000000,0.000000000,0.000000000
